ID,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
59,Bane,bad,Male,-,Human,-,DC Comics,-,203.0,180.0
60,Banshee,good,Male,green,Human,Strawberry Blond,Marvel Comics,-,183.0,77.0
61,Bantam,good,Male,brown,-,Black,Marvel Comics,-,165.0,54.0
62,Batgirl,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
63,Batgirl,good,Female,green,Human,Red,DC Comics,-,170.0,57.0
64,Batgirl III,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
65,Batgirl IV,good,Female,green,Human,Black,DC Comics,-,165.0,52.0
66,Batgirl V,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
67,Batgirl VI,good,Female,blue,-,Blond,DC Comics,-,168.0,61.0
68,Batman,good,Male,blue,Human,black,DC Comics,-,188.0,95.0
69,Batman,good,Male,blue,Human,Black,DC Comics,-,178.0,77.0
70,Batman II,good,Male,blue,Human,Black,DC Comics,-,178.0,79.0
71,Battlestar,good,Male,brown,-,Black,Marvel Comics,-,198.0,133.0
72,Batwoman V,good,Female,green,Human,Red,DC Comics,-,178.0,-99.0
73,Beak,good,Male,black,-,White,Marvel Comics,-,175.0,63.0
74,Beast,good,Male,blue,Mutant,Blue,Marvel Comics,blue,180.0,181.0
75,Beast Boy,good,Male,green,Human,Green,DC Comics,green,173.0,68.0
76,Beetle,bad,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
77,Ben 10,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
78,Beta Ray Bill,good,Male,-,-,No Hair,Marvel Comics,-,201.0,216.0
79,Beyonder,good,Male,-,God / Eternal,-,Marvel Comics,-,-99.0,-99.0
80,Big Barda,bad,Female,blue,New God,Black,DC Comics,-,188.0,135.0
81,Big Daddy,good,Male,-,-,-,Icon Comics,-,-99.0,-99.0
82,Big Man,bad,Male,blue,-,Brown,Marvel Comics,-,165.0,71.0
83,Bill Harken,good,Male,-,Alpha,-,SyFy,-,-99.0,-99.0
84,Billy Kincaid,bad,Male,-,-,-,Image Comics,-,-99.0,-99.0
85,Binary,good,Female,blue,-,Blond,Marvel Comics,-,180.0,54.0
86,Bionic Woman,good,Female,blue,Cyborg,Black,,-,-99.0,-99.0
87,Bird-Brain,good,-,-,-,-,Marvel Comics,-,-99.0,-99.0
88,Bird-Man,bad,Male,-,Human,-,Marvel Comics,-,-99.0,-99.0
89,Bird-Man II,bad,Male,-,Human,-,Marvel Comics,-,-99.0,-99.0
90,Birdman,good,Male,-,God / Eternal,-,Hanna-Barbera,-,-99.0,-99.0
91,Bishop,good,Male,brown,Mutant,No Hair,Marvel Comics,-,198.0,124.0
92,Bizarro,neutral,Male,black,Bizarro,Black,DC Comics,white,191.0,155.0
93,Black Abbott,bad,Male,red,-,Black,Marvel Comics,-,-99.0,-99.0
94,Black Adam,bad,Male,brown,-,Black,DC Comics,-,191.0,113.0
95,Black Bolt,good,Male,blue,Inhuman,Black,Marvel Comics,-,188.0,95.0
96,Black Canary,good,Female,blue,Human,Blond,DC Comics,-,165.0,58.0
97,Black Canary,good,Female,blue,Metahuman,Blond,DC Comics,-,170.0,59.0
98,Black Cat,good,Female,green,Human,Blond,Marvel Comics,-,178.0,54.0
99,Black Flash,neutral,Male,-,God / Eternal,-,DC Comics,-,-99.0,-99.0
100,Black Goliath,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
101,Black Knight III,good,Male,brown,Human,Brown,Marvel Comics,-,183.0,86.0
102,Black Lightning,good,Male,brown,-,No Hair,DC Comics,-,185.0,90.0
103,Black Mamba,bad,Female,green,-,Black,Marvel Comics,-,170.0,52.0
104,Black Manta,bad,Male,black,Human,No Hair,DC Comics,-,188.0,92.0
105,Black Panther,good,Male,brown,Human,Black,Marvel Comics,-,183.0,90.0
106,Black Widow,good,Female,green,Human,Auburn,Marvel Comics,-,170.0,59.0
107,Black Widow II,good,Female,blue,-,Blond,Marvel Comics,-,170.0,61.0
108,Blackout,bad,Male,red,Demon,White,Marvel Comics,white,191.0,104.0
109,Blackwing,bad,Male,blue,-,Black,Marvel Comics,-,185.0,86.0
110,Blackwulf,-,Male,red,Alien,White,Marvel Comics,-,188.0,88.0
111,Blade,good,Male,brown,Vampire,Black,Marvel Comics,-,188.0,97.0
112,Blaquesmith,good,-,black,-,No Hair,Marvel Comics,-,-99.0,-99.0
113,Bling!,good,Female,-,-,-,Marvel Comics,-,168.0,68.0
114,Blink,good,Female,green,Mutant,Magenta,Marvel Comics,pink,165.0,56.0
115,Blizzard,bad,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
116,Blizzard,bad,Male,-,-,Brown,Marvel Comics,-,-99.0,-99.0
117,Blizzard II,bad,Male,brown,-,Brown,Marvel Comics,-,175.0,77.0
118,Blob,bad,Male,brown,-,Brown,Marvel Comics,-,178.0,230.0
119,Bloodaxe,bad,Female,blue,Human,Brown,Marvel Comics,-,218.0,495.0
120,Bloodhawk,good,Male,black,Mutant,No Hair,Marvel Comics,-,-99.0,-99.0
121,Bloodwraith,bad,Male,white,-,No Hair,Marvel Comics,-,30.5,-99.0
122,Blue Beetle,good,Male,blue,-,Brown,DC Comics,-,-99.0,-99.0
123,Blue Beetle,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
124,Blue Beetle II,good,Male,blue,-,Brown,DC Comics,-,183.0,86.0
125,Blue Beetle III,good,Male,brown,Human,Black,DC Comics,-,-99.0,-99.0
126,Boba Fett,bad,Male,brown,Human / Clone,Black,George Lucas,-,183.0,-99.0
127,Bolt,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
128,Bomb Queen,bad,Female,-,-,-,Image Comics,-,-99.0,-99.0
129,Boom-Boom,good,Female,blue,Mutant,Blond,Marvel Comics,-,165.0,55.0
130,Boomer,good,Female,-,-,-,Marvel Comics,-,-99.0,-99.0
131,Booster Gold,good,Male,blue,Human,Blond,DC Comics,-,196.0,97.0
132,Box,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
133,Box III,good,-,blue,-,Blond,Marvel Comics,-,193.0,110.0
134,Box IV,good,-,brown,-,Brown / Black,Marvel Comics,-,-99.0,-99.0
135,Brainiac,bad,Male,green,Android,No Hair,DC Comics,green,198.0,135.0
136,Brainiac 5,good,Male,green,-,Blond,DC Comics,-,170.0,61.0
137,Brother Voodoo,good,Male,brown,Human,Brown / White,Marvel Comics,-,183.0,99.0
138,Brundlefly,-,Male,-,Mutant,-,,-,193.0,-99.0
139,Buffy,good,Female,green,Human,Blond,Dark Horse Comics,-,157.0,52.0
140,Bullseye,bad,Male,blue,Human,blond,Marvel Comics,-,183.0,90.0
141,Bumblebee,good,Female,brown,Human,Black,DC Comics,-,170.0,59.0
142,Bumbleboy,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
143,Bushido,good,Male,-,Human,-,DC Comics,-,-99.0,-99.0
144,Cable,good,Male,blue,Mutant,White,Marvel Comics,-,203.0,158.0
145,Callisto,bad,Female,blue,-,Black,Marvel Comics,-,175.0,74.0
146,Cameron Hicks,good,Male,-,Alpha,-,SyFy,-,-99.0,-99.0
147,Cannonball,good,Male,blue,-,Blond,Marvel Comics,-,183.0,81.0
148,Captain America,good,Male,blue,Human,blond,Marvel Comics,-,188.0,108.0
149,Captain Atom,good,Male,blue,Human / Radiation,Silver,DC Comics,silver,193.0,90.0
150,Captain Britain,good,Male,blue,Human,Blond,Marvel Comics,-,198.0,116.0
151,Captain Cold,neutral,Male,brown,Human,Brown,DC Comics,-,-99.0,-99.0
152,Captain Epic,good,Male,blue,-,Brown,Team Epic TV,-,188.0,-99.0
153,Captain Hindsight,good,Male,-,Human,Black,South Park,-,-99.0,-99.0
154,Captain Mar-vell,good,Male,blue,-,Blond,Marvel Comics,-,188.0,108.0
155,Captain Marvel,good,Female,blue,Human-Kree,Blond,Marvel Comics,-,180.0,74.0
156,Captain Marvel,good,Male,blue,Human,Black,DC Comics,-,193.0,101.0
157,Captain Marvel II,good,Male,blue,Human,Black,DC Comics,-,175.0,74.0
158,Captain Midnight,good,Male,-,Human,-,Dark Horse Comics,-,-99.0,-99.0
159,Captain Planet,good,Male,red,God / Eternal,Green,Marvel Comics,-,-99.0,-99.0
160,Captain Universe,good,-,-,God / Eternal,-,Marvel Comics,-,-99.0,-99.0
161,Carnage,bad,Male,green,Symbiote,Red,Marvel Comics,-,185.0,86.0
162,Cat,good,Female,blue,-,Blond,Marvel Comics,-,173.0,61.0
163,Cat II,good,Female,-,-,-,Marvel Comics,-,-99.0,-99.0
164,Catwoman,good,Female,green,Human,Black,DC Comics,-,175.0,61.0
165,Cecilia Reyes,good,-,brown,-,Brown,Marvel Comics,-,170.0,62.0
166,Century,good,Male,white,Alien,White,Marvel Comics,grey,201.0,97.0
167,Cerebra,good,Female,-,Mutant,-,Marvel Comics,-,-99.0,-99.0
168,Chamber,good,Male,brown,Mutant,Brown,Marvel Comics,-,175.0,63.0
169,Chameleon,bad,Male,-,-,-,DC Comics,-,-99.0,-99.0
170,Changeling,bad,Male,brown,-,Black,Marvel Comics,-,180.0,81.0
171,Cheetah,bad,Female,green,Human,Blond,DC Comics,-,163.0,50.0
172,Cheetah II,bad,Female,green,Human,Brown,DC Comics,-,170.0,55.0
173,Cheetah III,bad,Female,brown,Human,Brown,DC Comics,-,175.0,54.0
174,Chromos,bad,Male,brown,-,Red / Grey,Team Epic TV,-,185.0,86.0
175,Chuck Norris,good,Male,-,-,-,,-,178.0,-99.0
176,Citizen Steel,good,Male,green,Human,Red,DC Comics,-,183.0,170.0
177,Claire Bennet,good,Female,blue,-,Blond,NBC - Heroes,-,-99.0,-99.0
178,Clea,good,-,-,-,White,Marvel Comics,-,-99.0,-99.0
179,Cloak,good,Male,brown,-,black,Marvel Comics,-,226.0,70.0
180,Clock King,bad,Male,blue,Human,Black,DC Comics,-,178.0,78.0
181,Cogliostro,bad,Male,-,-,-,Image Comics,-,-99.0,-99.0
182,Colin Wagner,good,Male,grey,-,Brown,HarperCollins,-,-99.0,-99.0
183,Colossal Boy,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
184,Colossus,good,Male,silver,Mutant,Black,Marvel Comics,-,226.0,225.0
185,Copycat,neutral,Female,red,Mutant,White,Marvel Comics,blue,183.0,67.0
186,Corsair,good,Male,brown,-,Brown,Marvel Comics,-,191.0,79.0
187,Cottonmouth,bad,Male,brown,Human,Black,Marvel Comics,-,183.0,99.0
188,Crimson Crusader,good,Male,blue,-,Strawberry Blond,Marvel Comics,-,-99.0,-99.0
189,Crimson Dynamo,good,Male,brown,-,No Hair,Marvel Comics,-,180.0,104.0
190,Crystal,good,Female,green,Inhuman,Red,Marvel Comics,-,168.0,50.0
191,Curse,bad,Male,-,-,-,Image Comics,-,-99.0,-99.0
192,Cy-Gor,bad,Male,-,-,-,Image Comics,-,-99.0,-99.0
193,Cyborg,good,Male,brown,Cyborg,Black,DC Comics,-,198.0,173.0
194,Cyborg Superman,bad,Male,blue,Cyborg,Black,DC Comics,-,-99.0,-99.0
195,Cyclops,good,Male,brown,Mutant,Brown,Marvel Comics,-,191.0,88.0
196,Cypher,good,-,blue,-,Blond,Marvel Comics,-,175.0,68.0
197,Dagger,good,Female,blue,-,Blond,Marvel Comics,-,165.0,52.0
198,Danny Cooper,good,Male,brown,-,Blond,HarperCollins,-,-99.0,-99.0
199,Daphne Powell,good,Female,-,-,-,ABC Studios,-,-99.0,-99.0
200,Daredevil,good,Male,blue,Human,Red,Marvel Comics,-,183.0,90.0
201,Darkhawk,good,Male,brown,Human,Brown,Marvel Comics,-,185.0,81.0
202,Darkman,good,Male,-,-,-,Universal Studios,-,-99.0,-99.0
203,Darkseid,bad,Male,red,New God,No Hair,DC Comics,grey,267.0,817.0
204,Darkside,bad,-,-,-,-,,-,-99.0,-99.0
205,Darkstar,good,Female,brown,Mutant,Blond,Marvel Comics,-,168.0,56.0
206,Darth Maul,bad,Male,yellow / red,Dathomirian Zabrak,-,George Lucas,red / black,170.0,-99.0
207,Darth Vader,bad,Male,yellow,Cyborg,No Hair,George Lucas,-,198.0,135.0
208,Dash,good,Male,blue,Human,Blond,Dark Horse Comics,-,122.0,27.0
209,Data,good,Male,yellow,Android,Brown,Star Trek,-,-99.0,-99.0
210,Dazzler,good,Female,blue,Mutant,Blond,Marvel Comics,-,173.0,52.0
211,Deadman,good,Male,blue,Human,Black,DC Comics,-,183.0,90.0
212,Deadpool,neutral,Male,brown,Mutant,No Hair,Marvel Comics,-,188.0,95.0
213,Deadshot,bad,Male,brown,Human,Brown,DC Comics,-,185.0,91.0
214,Deathlok,good,Male,brown,Cyborg,Grey,Marvel Comics,-,193.0,178.0
215,Deathstroke,neutral,Male,blue,Human,White,DC Comics,-,193.0,101.0
216,Demogoblin,bad,Male,red,Demon,No Hair,Marvel Comics,-,185.0,95.0
217,Destroyer,bad,Male,-,-,-,Marvel Comics,-,188.0,383.0
218,Diamondback,bad,Male,brown,Human,Black,Marvel Comics,-,193.0,90.0
219,DL Hawkins,good,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
220,Doc Samson,good,Male,blue,Human / Radiation,Green,Marvel Comics,-,198.0,171.0
221,Doctor Doom,bad,Male,brown,Human,Brown,Marvel Comics,-,201.0,187.0
222,Doctor Doom II,bad,Male,brown,-,Brown,Marvel Comics,-,201.0,132.0
223,Doctor Fate,good,Male,blue,Human,Blond,DC Comics,-,188.0,89.0
224,Doctor Octopus,bad,Male,brown,Human,Brown,Marvel Comics,-,175.0,110.0
225,Doctor Strange,good,Male,grey,Human,Black,Marvel Comics,-,188.0,81.0
226,Domino,good,Female,blue,Human,Black,Marvel Comics,white,173.0,54.0
227,Donatello,good,Male,green,Mutant,No Hair,IDW Publishing,green,-99.0,-99.0
228,Donna Troy,good,Female,blue,Amazon,Black,DC Comics,-,175.0,63.0
229,Doomsday,bad,Male,red,Alien,White,DC Comics,-,244.0,412.0
230,Doppelganger,bad,Male,white,-,No Hair,Marvel Comics,-,196.0,104.0
231,Dormammu,bad,Male,yellow,-,No Hair,Marvel Comics,-,185.0,-99.0
232,Dr Manhattan,good,Male,white,Human / Cosmic,No Hair,DC Comics,blue,-99.0,-99.0
233,Drax the Destroyer,good,Male,red,Human / Altered,No Hair,Marvel Comics,green,193.0,306.0
234,Ego,bad,-,-,-,-,Marvel Comics,-,-99.0,-99.0
235,Elastigirl,good,Female,brown,Human,Brown,Dark Horse Comics,-,168.0,56.0
236,Electro,bad,Male,blue,Human,Auburn,Marvel Comics,-,180.0,74.0
237,Elektra,good,Female,blue,Human,Black,Marvel Comics,-,175.0,59.0
238,Elle Bishop,bad,Female,blue,-,Blond,NBC - Heroes,-,-99.0,-99.0
239,Elongated Man,good,Male,blue,-,Red,DC Comics,-,185.0,80.0
240,Emma Frost,good,Female,blue,-,Blond,Marvel Comics,-,178.0,65.0
241,Enchantress,good,Female,blue,Human,Blond,DC Comics,-,168.0,57.0
242,Energy,good,Female,-,-,-,HarperCollins,-,-99.0,-99.0
243,ERG-1,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
244,Ethan Hunt,good,Male,brown,Human,Brown,,-,168.0,-99.0
245,Etrigan,neutral,Male,red,Demon,No Hair,DC Comics,yellow,193.0,203.0
246,Evil Deadpool,bad,Male,white,Mutant,Red,Marvel Comics,-,188.0,95.0
247,Evilhawk,bad,Male,red,Alien,Black,Marvel Comics,green,191.0,106.0
248,Exodus,bad,Male,blue,Mutant,Black,Marvel Comics,red,183.0,88.0
249,Fabian Cortez,bad,-,blue,-,Brown,Marvel Comics,-,196.0,96.0
250,Falcon,good,Male,brown,Human,Black,Marvel Comics,-,188.0,108.0
251,Fallen One II,bad,Male,black,-,Blue,Marvel Comics,-,-99.0,-99.0
252,Faora,bad,Female,-,Kryptonian,-,DC Comics,-,-99.0,-99.0
253,Feral,good,-,yellow (without irises),-,Orange / White,Marvel Comics,-,175.0,50.0
254,Fighting Spirit,good,Female,-,-,Red,DC Comics,-,-99.0,-99.0
255,Fin Fang Foom,good,Male,red,Kakarantharaian,No Hair,Marvel Comics,green,975.0,18.0
256,Firebird,good,Female,brown,-,Black,Marvel Comics,-,165.0,56.0
257,Firelord,good,-,white,-,Yellow,Marvel Comics,-,193.0,99.0
258,Firestar,good,Female,green,Mutant,Red,Marvel Comics,-,173.0,56.0
259,Firestorm,good,Male,brown,-,Black,DC Comics,-,-99.0,-99.0
260,Firestorm,good,Male,blue,Human,Auburn,DC Comics,-,188.0,91.0
261,Fixer,bad,-,red,-,No Hair,Marvel Comics,-,-99.0,-99.0
262,Flash,good,Male,blue,Human,Brown / White,DC Comics,-,180.0,81.0
263,Flash Gordon,good,Male,-,-,-,,-,-99.0,-99.0
264,Flash II,good,Male,blue,Human,Blond,DC Comics,-,183.0,88.0
265,Flash III,good,Male,-,Human,-,DC Comics,-,183.0,86.0
266,Flash IV,good,Male,yellow,Human,Auburn,DC Comics,-,157.0,52.0
267,Forge,good,-,brown,-,Black,Marvel Comics,-,183.0,81.0
268,Franklin Richards,good,Male,blue,Mutant,Blond,Marvel Comics,-,142.0,45.0
269,Franklin Storm,good,-,blue,-,Grey,Marvel Comics,-,188.0,92.0
270,Frenzy,bad,Female,brown,-,Black,Marvel Comics,-,211.0,104.0
271,Frigga,good,Female,blue,-,White,Marvel Comics,-,180.0,167.0
272,Galactus,neutral,Male,black,Cosmic Entity,Black,Marvel Comics,-,876.0,16.0
273,Gambit,good,Male,red,Mutant,Brown,Marvel Comics,-,185.0,81.0
274,Gamora,good,Female,yellow,Zen-Whoberian,Black,Marvel Comics,green,183.0,77.0
275,Garbage Man,good,Male,-,Mutant,-,DC Comics,-,-99.0,-99.0
276,Gary Bell,good,Male,-,Alpha,-,SyFy,-,-99.0,-99.0
277,General Zod,bad,Male,black,Kryptonian,Black,DC Comics,-,-99.0,-99.0
278,Genesis,good,Male,blue,-,Blond,Marvel Comics,-,185.0,86.0
279,Ghost Rider,good,Male,red,Demon,No Hair,Marvel Comics,-,188.0,99.0
280,Ghost Rider II,good,-,-,-,-,Marvel Comics,-,-99.0,-99.0
281,Giant-Man,good,Male,-,Human,-,Marvel Comics,-,-99.0,-99.0
282,Giant-Man II,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
283,Giganta,bad,Female,green,-,Red,DC Comics,-,62.5,630.0
284,Gladiator,neutral,Male,blue,Strontian,Blue,Marvel Comics,purple,198.0,268.0
285,Goblin Queen,bad,Female,green,-,Red,Marvel Comics,-,168.0,50.0
286,Godzilla,bad,-,-,Kaiju,-,,grey,108.0,
287,Gog,bad,Male,-,-,-,DC Comics,-,-99.0,-99.0
288,Goku,good,Male,-,Saiyan,-,Shueisha,-,175.0,62.0
289,Goliath,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
290,Goliath,good,Male,-,Human,-,Marvel Comics,-,-99.0,-99.0
291,Goliath,good,Male,-,Human,-,Marvel Comics,-,-99.0,-99.0
292,Goliath IV,good,Male,brown,-,Black,Marvel Comics,-,183.0,90.0
293,Gorilla Grodd,bad,Male,yellow,Gorilla,Black,DC Comics,-,198.0,270.0
294,Granny Goodness,bad,Female,blue,-,White,DC Comics,-,178.0,115.0
295,Gravity,good,Male,blue,Human,Brown,Marvel Comics,-,178.0,79.0
296,Greedo,bad,Male,purple,Rodian,-,George Lucas,green,170.0,-99.0
297,Green Arrow,good,Male,green,Human,Blond,DC Comics,-,188.0,88.0
298,Green Goblin,bad,Male,blue,Human,Auburn,Marvel Comics,-,180.0,83.0
299,Green Goblin II,bad,Male,blue,-,Auburn,Marvel Comics,-,178.0,77.0
300,Green Goblin III,good,Male,-,-,-,Marvel Comics,-,183.0,88.0
301,Green Goblin IV,good,Male,green,-,Brown,Marvel Comics,-,178.0,79.0
302,Groot,good,Male,yellow,Flora Colossus,-,Marvel Comics,-,701.0,4.0
303,Guardian,good,Male,brown,Human,Black,Marvel Comics,-,-99.0,-99.0
304,Guy Gardner,good,Male,blue,Human-Vuldarian,Red,DC Comics,-,188.0,95.0
305,Hal Jordan,good,Male,brown,Human,Brown,DC Comics,-,188.0,90.0
306,Han Solo,good,Male,brown,Human,Brown,George Lucas,-,183.0,79.0
307,Hancock,good,Male,brown,Human,Black,Sony Pictures,-,188.0,-99.0
308,Harley Quinn,bad,Female,blue,Human,Blond,DC Comics,-,170.0,63.0
309,Harry Potter,good,Male,green,Human,Black,J. K. Rowling,-,-99.0,-99.0
310,Havok,good,Male,blue,Mutant,Blond,Marvel Comics,-,183.0,79.0
311,Hawk,good,Male,red,-,Brown,DC Comics,-,185.0,89.0
312,Hawkeye,good,Male,blue,Human,Blond,Marvel Comics,-,191.0,104.0
313,Hawkeye II,good,Female,blue,Human,Black,Marvel Comics,-,165.0,57.0
314,Hawkgirl,good,Female,green,-,Red,DC Comics,-,175.0,61.0
315,Hawkman,good,Male,blue,-,Brown,DC Comics,-,185.0,88.0
316,Hawkwoman,good,Female,green,-,Red,DC Comics,-,175.0,54.0
317,Hawkwoman II,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
318,Hawkwoman III,good,Female,blue,-,Red,DC Comics,-,170.0,65.0
319,Heat Wave,bad,Male,blue,Human,No Hair,DC Comics,-,180.0,81.0
320,Hela,bad,Female,green,Asgardian,Black,Marvel Comics,-,213.0,225.0
321,Hellboy,good,Male,gold,Demon,Black,Dark Horse Comics,-,259.0,158.0
322,Hellcat,good,Female,blue,Human,Red,Marvel Comics,-,173.0,61.0
323,Hellstorm,good,Male,red,-,Red,Marvel Comics,-,185.0,81.0
324,Hercules,good,Male,blue,Demi-God,Brown,Marvel Comics,-,196.0,146.0
325,Hiro Nakamura,good,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
326,Hit-Girl,good,Female,-,Human,-,Icon Comics,-,-99.0,-99.0
327,Hobgoblin,bad,Male,blue,-,Grey,Marvel Comics,-,180.0,83.0
328,Hollow,good,Female,blue,-,Red,Marvel Comics,-,170.0,-99.0
329,Hope Summers,good,Female,green,-,Red,Marvel Comics,-,168.0,48.0
330,Howard the Duck,good,Male,brown,-,Yellow,Marvel Comics,-,79.0,18.0
331,Hulk,good,Male,green,Human / Radiation,Green,Marvel Comics,green,244.0,630.0
332,Human Torch,good,Male,blue,Human / Radiation,Blond,Marvel Comics,-,178.0,77.0
333,Huntress,good,Female,blue,-,Black,DC Comics,-,180.0,59.0
334,Husk,good,Female,blue,Mutant,Blond,Marvel Comics,-,170.0,58.0
335,Hybrid,good,Male,brown,Symbiote,Black,Marvel Comics,-,175.0,77.0
336,Hydro-Man,bad,Male,brown,-,Brown,Marvel Comics,-,188.0,119.0
337,Hyperion,good,Male,blue,Eternal,Red,Marvel Comics,-,183.0,207.0
338,Iceman,good,Male,brown,Mutant,Brown,Marvel Comics,-,173.0,65.0
339,Impulse,good,Male,yellow,Human,Auburn,DC Comics,-,170.0,65.0
