Nombre,Alineamiento,Genero,Raza,Editorial,Color de piel,Altura,Peso,Categoria_Peso
Batgirl,good,Female,-,DC Comics,-,170.0,57.0,Livianos
Batgirl,good,Female,Human,DC Comics,-,170.0,57.0,Livianos
Batgirl III,good,Female,-,DC Comics,-,-99.0,-99.0,
Batgirl IV,good,Female,Human,DC Comics,-,165.0,52.0,Livianos
Batgirl V,good,Female,-,DC Comics,-,-99.0,-99.0,
Batgirl VI,good,Female,-,DC Comics,-,168.0,61.0,Livianos
Batman,good,Male,Human,DC Comics,-,188.0,95.0,Livianos
Batman,good,Male,Human,DC Comics,-,178.0,77.0,Livianos
Batman II,good,Male,Human,DC Comics,-,178.0,79.0,Livianos
Battlestar,good,Male,-,Marvel Comics,-,198.0,133.0,Livianos
Batwoman V,good,Female,Human,DC Comics,-,178.0,-99.0,
Beak,good,Male,-,Marvel Comics,-,175.0,63.0,Livianos
Beast,good,Male,Mutant,Marvel Comics,blue,180.0,181.0,Pesados
Beast Boy,good,Male,Human,DC Comics,green,173.0,68.0,Livianos
Beetle,bad,Male,-,Marvel Comics,-,180.0,79.0,Livianos
Ben 10,good,Male,-,DC Comics,-,165.0,45.0,Livianos
Beta Ray Bill,good,Male,-,Marvel Comics,-,201.0,216.0,Pesados
Beyonder,good,Male,God / Eternal,Marvel Comics,-,-99.0,-99.0,
Big Barda,bad,Female,New God,DC Comics,-,188.0,135.0,Livianos
Big Daddy,good,Male,-,Icon Comics,-,-99.0,-99.0,
Big Man,bad,Male,-,Marvel Comics,-,165.0,71.0,Livianos
Bill Harken,good,Male,Alpha,SyFy,-,-99.0,-99.0,
Billy Kincaid,bad,Male,-,Image Comics,-,-99.0,-99.0,
Binary,good,Female,-,Marvel Comics,-,180.0,54.0,Livianos
Bird-Brain,good,Male,-,Marvel Comics,-,183.0,57.0,Livianos
Bird-Man,bad,Male,Human,Marvel Comics,-,168.0,81.0,Livianos
Bird-Man II,bad,Male,Human,Marvel Comics,-,-99.0,-99.0,
Birdman,good,Male,God / Eternal,Hanna-Barbera,-,-99.0,-99.0,
Bishop,good,Male,Mutant,Marvel Comics,-,198.0,124.0,Livianos
Bizarro,neutral,Male,Bizarro,DC Comics,white,191.0,155.0,Livianos
Black Abbott,bad,Male,-,Marvel Comics,-,-99.0,-99.0,
Black Adam,bad,Male,-,DC Comics,-,191.0,113.0,Livianos
Black Bolt,good,Male,Inhuman,Marvel Comics,-,188.0,95.0,Livianos
Black Canary,good,Female,Human,DC Comics,-,165.0,58.0,Livianos
Black Canary,good,Female,Metahuman,DC Comics,-,170.0,59.0,Livianos
Black Cat,good,Female,Human,Marvel Comics,-,178.0,54.0,Livianos
Black Flash,neutral,Male,God / Eternal,DC Comics,-,-99.0,-99.0,
Black Goliath,good,Male,-,Marvel Comics,-,-99.0,91.0,Livianos
Black Knight III,good,Male,Human,Marvel Comics,-,183.0,86.0,Livianos
Black Lightning,good,Male,-,DC Comics,-,185.0,90.0,Livianos
Black Mamba,bad,Female,-,Marvel Comics,-,170.0,52.0,Livianos
Black Manta,bad,Male,Human,DC Comics,-,188.0,92.0,Livianos
Black Panther,good,Male,Human,Marvel Comics,-,183.0,90.0,Livianos
Black Widow,good,Female,Human,Marvel Comics,-,170.0,59.0,Livianos
Black Widow II,good,Female,-,Marvel Comics,-,170.0,61.0,Livianos
Blackout,bad,Male,Demon,Marvel Comics,white,191.0,104.0,Livianos
Blackwing,bad,Male,-,Marvel Comics,-,185.0,86.0,Livianos
Blackwulf,-,Male,Alien,Marvel Comics,-,188.0,88.0,Livianos
Blade,good,Male,Vampire,Marvel Comics,-,188.0,97.0,Livianos
Blaquesmith,good,-,-,Marvel Comics,-,160.0,48.0,Livianos
Bling!,good,Female,-,Marvel Comics,-,168.0,68.0,Livianos
Blink,good,Female,Mutant,Marvel Comics,pink,165.0,56.0,Livianos
Blizzard,bad,Male,-,Marvel Comics,-,173.0,69.0,Livianos
Blizzard,bad,Male,-,Marvel Comics,-,173.0,69.0,Livianos
Blizzard II,bad,Male,-,Marvel Comics,-,175.0,77.0,Livianos
Blob,bad,Male,-,Marvel Comics,-,178.0,230.0,Pesados
Bloodaxe,bad,Female,Human,Marvel Comics,-,218.0,495.0,Pesados
Bloodhawk,good,Male,Mutant,Marvel Comics,-,-99.0,-99.0,
Bloodwraith,bad,Male,-,Marvel Comics,-,31.0,72.0,Livianos
Blue Beetle,good,Male,-,DC Comics,-,-99.0,-99.0,
Blue Beetle,good,Male,-,DC Comics,-,-99.0,-99.0,
Blue Beetle II,good,Male,-,DC Comics,-,183.0,86.0,Livianos
Blue Beetle III,good,Male,Human,DC Comics,-,-99.0,-99.0,
Boba Fett,bad,Male,Human / Clone,George Lucas,-,183.0,-99.0,
Bolt,good,Male,-,Marvel Comics,-,188.0,99.0,Livianos
Bomb Queen,bad,Female,-,Image Comics,-,-99.0,-99.0,
Boom-Boom,good,Female,Mutant,Marvel Comics,-,165.0,55.0,Livianos
Boomer,good,Female,-,Marvel Comics,-,163.0,55.0,Livianos
Booster Gold,good,Male,Human,DC Comics,-,196.0,97.0,Livianos
Box,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Box III,good,-,-,Marvel Comics,-,193.0,110.0,Livianos
Box IV,good,-,-,Marvel Comics,-,-99.0,-99.0,
Brainiac,bad,Male,Android,DC Comics,green,198.0,135.0,Livianos
Brainiac 5,good,Male,-,DC Comics,-,170.0,61.0,Livianos
Brother Voodoo,good,Male,Human,Marvel Comics,-,183.0,99.0,Livianos
Buffy,good,Female,Human,Dark Horse Comics,-,157.0,52.0,Livianos
Bullseye,bad,Male,Human,Marvel Comics,-,183.0,90.0,Livianos
Bumblebee,good,Female,Human,DC Comics,-,170.0,59.0,Livianos
Bumbleboy,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Bushido,good,Male,Human,DC Comics,-,-99.0,-99.0,
Cable,good,Male,Mutant,Marvel Comics,-,203.0,158.0,Livianos
Callisto,bad,Female,-,Marvel Comics,-,175.0,74.0,Livianos
Cameron Hicks,good,Male,Alpha,SyFy,-,187.0,75.0,Livianos
Cannonball,good,Male,-,Marvel Comics,-,183.0,81.0,Livianos
Captain America,good,Male,Human,Marvel Comics,-,188.0,108.0,Livianos
Captain Atom,good,Male,Human / Radiation,DC Comics,silver,193.0,90.0,Livianos
Captain Britain,good,Male,Human,Marvel Comics,-,198.0,116.0,Livianos
Captain Cold,neutral,Male,Human,DC Comics,-,188.0,89.0,Livianos
Captain Epic,good,Male,-,Team Epic TV,-,188.0,-99.0,
Captain Hindsight,good,Male,Human,South Park,-,-99.0,-99.0,
Captain Mar-vell,good,Male,-,Marvel Comics,-,188.0,108.0,Livianos
Captain Marvel,good,Female,Human-Kree,Marvel Comics,-,180.0,74.0,Livianos
Captain Marvel,good,Male,Human,DC Comics,-,193.0,101.0,Livianos
Captain Marvel II,good,Male,Human,DC Comics,-,175.0,74.0,Livianos
Captain Midnight,good,Male,Human,Dark Horse Comics,-,-99.0,-99.0,
Captain Planet,good,Male,God / Eternal,Marvel Comics,-,-99.0,-99.0,
Captain Universe,good,-,God / Eternal,Marvel Comics,-,-99.0,-99.0,
Carnage,bad,Male,Symbiote,Marvel Comics,-,185.0,86.0,Livianos
Cat,good,Female,-,Marvel Comics,-,173.0,61.0,Livianos
Cat II,good,Female,-,Marvel Comics,-,165.0,54.0,Livianos
Catwoman,good,Female,Human,DC Comics,-,175.0,61.0,Livianos
Cecilia Reyes,good,-,-,Marvel Comics,-,170.0,62.0,Livianos
Century,good,Male,Alien,Marvel Comics,grey,201.0,97.0,Livianos
Cerebra,good,Female,Mutant,Marvel Comics,-,-99.0,-99.0,
Chamber,good,Male,Mutant,Marvel Comics,-,175.0,63.0,Livianos
Chameleon,bad,Male,-,DC Comics,-,175.0,61.0,Livianos
Changeling,bad,Male,-,Marvel Comics,-,180.0,81.0,Livianos
Cheetah,bad,Female,Human,DC Comics,-,163.0,50.0,Livianos
Cheetah II,bad,Female,Human,DC Comics,-,170.0,55.0,Livianos
Cheetah III,bad,Female,Human,DC Comics,-,175.0,54.0,Livianos
Chromos,bad,Male,-,Team Epic TV,-,185.0,86.0,Livianos
Citizen Steel,good,Male,Human,DC Comics,-,183.0,170.0,Pesados
Claire Bennet,good,Female,-,NBC - Heroes,-,155.0,50.0,Livianos
Clea,good,Female,-,Marvel Comics,-,173.0,86.0,Livianos
Cloak,good,Male,-,Marvel Comics,-,226.0,70.0,Livianos
Clock King,bad,Male,Human,DC Comics,-,178.0,78.0,Livianos
Cogliostro,bad,Male,-,Image Comics,-,177.0,86.0,Livianos
Colin Wagner,good,Male,-,HarperCollins,-,-99.0,-99.0,
Colossal Boy,good,Male,-,DC Comics,-,177.0,91.0,Livianos
Colossus,good,Male,Mutant,Marvel Comics,-,226.0,225.0,Pesados
Copycat,neutral,Female,Mutant,Marvel Comics,blue,183.0,67.0,Livianos
Corsair,good,Male,-,Marvel Comics,-,191.0,79.0,Livianos
Cottonmouth,bad,Male,Human,Marvel Comics,-,183.0,99.0,Livianos
Crimson Crusader,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Crimson Dynamo,good,Male,-,Marvel Comics,-,180.0,104.0,Livianos
Crystal,good,Female,Inhuman,Marvel Comics,-,168.0,50.0,Livianos
Curse,bad,Male,-,Image Comics,-,-99.0,-99.0,
Cy-Gor,bad,Male,-,Image Comics,-,-99.0,-99.0,
Cyborg,good,Male,Cyborg,DC Comics,-,198.0,173.0,Pesados
Cyborg Superman,bad,Male,Cyborg,DC Comics,-,190.0,90.0,Livianos
Cyclops,good,Male,Mutant,Marvel Comics,-,191.0,88.0,Livianos
Cypher,good,-,-,Marvel Comics,-,175.0,68.0,Livianos
Dagger,good,Female,-,Marvel Comics,-,165.0,52.0,Livianos
Danny Cooper,good,Male,-,HarperCollins,-,-99.0,-99.0,
Daphne Powell,good,Female,-,ABC Studios,-,-99.0,-99.0,
Daredevil,good,Male,Human,Marvel Comics,-,183.0,90.0,Livianos
Darkhawk,good,Male,Human,Marvel Comics,-,185.0,81.0,Livianos
Darkman,good,Male,-,Universal Studios,-,-99.0,-99.0,
Darkseid,bad,Male,New God,DC Comics,grey,267.0,817.0,Pesados
Darkstar,good,Female,Mutant,Marvel Comics,-,168.0,56.0,Livianos
Darth Maul,bad,Male,Dathomirian Zabrak,George Lucas,red / black,170.0,-99.0,
Darth Vader,bad,Male,Cyborg,George Lucas,-,198.0,135.0,Livianos
Dash,good,Male,Human,Dark Horse Comics,-,122.0,27.0,Livianos
Data,good,Male,Android,Star Trek,-,177.0,-99.0,
Dazzler,good,Female,Mutant,Marvel Comics,-,173.0,52.0,Livianos
Deadman,good,Male,Human,DC Comics,-,183.0,90.0,Livianos
Deadpool,neutral,Male,Mutant,Marvel Comics,-,188.0,95.0,Livianos
Deadshot,bad,Male,Human,DC Comics,-,185.0,91.0,Livianos
Deathlok,good,Male,Cyborg,Marvel Comics,-,193.0,178.0,Pesados
Deathstroke,neutral,Male,Human,DC Comics,-,193.0,101.0,Livianos
Demogoblin,bad,Male,Demon,Marvel Comics,-,185.0,95.0,Livianos
Destroyer,bad,Male,-,Marvel Comics,-,188.0,383.0,Pesados
Diamondback,bad,Male,Human,Marvel Comics,-,193.0,90.0,Livianos
DL Hawkins,good,Male,-,NBC - Heroes,-,-99.0,-99.0,
Doc Samson,good,Male,Human / Radiation,Marvel Comics,-,198.0,171.0,Pesados
Doctor Doom,bad,Male,Human,Marvel Comics,-,201.0,187.0,Pesados
Doctor Doom II,bad,Male,-,Marvel Comics,-,201.0,132.0,Livianos
Doctor Fate,good,Male,Human,DC Comics,-,188.0,89.0,Livianos
Doctor Octopus,bad,Male,Human,Marvel Comics,-,175.0,110.0,Livianos
Doctor Strange,good,Male,Human,Marvel Comics,-,188.0,81.0,Livianos
Domino,good,Female,Human,Marvel Comics,white,173.0,54.0,Livianos
Donatello,good,Male,Mutant,IDW Publishing,green,157.0,82.0,Livianos
Donna Troy,good,Female,Amazon,DC Comics,-,175.0,63.0,Livianos
Doomsday,bad,Male,Alien,DC Comics,-,244.0,412.0,Pesados
Doppelganger,bad,Male,-,Marvel Comics,-,196.0,104.0,Livianos
Dormammu,bad,Male,-,Marvel Comics,-,185.0,-99.0,
Dr Manhattan,good,Male,Human / Cosmic,DC Comics,blue,195.0,-99.0,
Drax the Destroyer,good,Male,Human / Altered,Marvel Comics,green,193.0,306.0,Pesados
Ego,bad,-,-,Marvel Comics,-,-99.0,-99.0,
Elastigirl,good,Female,Human,Dark Horse Comics,-,168.0,56.0,Livianos
Electro,bad,Male,Human,Marvel Comics,-,180.0,74.0,Livianos
Elektra,good,Female,Human,Marvel Comics,-,175.0,59.0,Livianos
Elle Bishop,bad,Female,-,NBC - Heroes,-,166.0,52.0,Livianos
Elongated Man,good,Male,-,DC Comics,-,185.0,80.0,Livianos
Emma Frost,good,Female,-,Marvel Comics,-,178.0,65.0,Livianos
Enchantress,good,Female,Human,DC Comics,-,168.0,57.0,Livianos
Energy,good,Female,-,HarperCollins,-,-99.0,-99.0,
ERG-1,good,Male,-,DC Comics,-,-99.0,-99.0,
Etrigan,neutral,Male,Demon,DC Comics,yellow,193.0,203.0,Pesados
Evil Deadpool,bad,Male,Mutant,Marvel Comics,-,188.0,95.0,Livianos
Evilhawk,bad,Male,Alien,Marvel Comics,green,191.0,106.0,Livianos
Exodus,bad,Male,Mutant,Marvel Comics,red,183.0,88.0,Livianos
Fabian Cortez,bad,-,-,Marvel Comics,-,196.0,96.0,Livianos
Falcon,good,Male,Human,Marvel Comics,-,188.0,108.0,Livianos
Fallen One II,bad,Male,-,Marvel Comics,-,-99.0,-99.0,
Faora,bad,Female,Kryptonian,DC Comics,-,177.0,57.0,Livianos
Feral,good,-,-,Marvel Comics,-,175.0,50.0,Livianos
Fighting Spirit,good,Female,-,DC Comics,-,-99.0,-99.0,
Fin Fang Foom,good,Male,Kakarantharaian,Marvel Comics,green,975.0,18.0,Livianos
Firebird,good,Female,-,Marvel Comics,-,165.0,56.0,Livianos
Firelord,good,-,-,Marvel Comics,-,193.0,99.0,Livianos
Firestar,good,Female,Mutant,Marvel Comics,-,173.0,56.0,Livianos
Firestorm,good,Male,-,DC Comics,-,-99.0,-99.0,
Firestorm,good,Male,Human,DC Comics,-,188.0,91.0,Livianos
Fixer,bad,-,-,Marvel Comics,-,-99.0,-99.0,
Flash,good,Male,Human,DC Comics,-,180.0,81.0,Livianos
Flash II,good,Male,Human,DC Comics,-,183.0,88.0,Livianos
Flash III,good,Male,Human,DC Comics,-,183.0,86.0,Livianos
Flash IV,good,Male,Human,DC Comics,-,157.0,52.0,Livianos
Forge,good,-,-,Marvel Comics,-,183.0,81.0,Livianos
Franklin Richards,good,Male,Mutant,Marvel Comics,-,142.0,45.0,Livianos
Franklin Storm,good,-,-,Marvel Comics,-,188.0,92.0,Livianos
Frenzy,bad,Female,-,Marvel Comics,-,211.0,104.0,Livianos
Frigga,good,Female,-,Marvel Comics,-,180.0,167.0,Pesados
Galactus,neutral,Male,Cosmic Entity,Marvel Comics,-,876.0,16.0,Livianos
Gambit,good,Male,Mutant,Marvel Comics,-,185.0,81.0,Livianos
Gamora,good,Female,Zen-Whoberian,Marvel Comics,green,183.0,77.0,Livianos
Garbage Man,good,Male,Mutant,DC Comics,-,-99.0,-99.0,
Gary Bell,good,Male,Alpha,SyFy,-,-99.0,-99.0,
General Zod,bad,Male,Kryptonian,DC Comics,-,190.0,98.0,Livianos
Genesis,good,Male,-,Marvel Comics,-,185.0,86.0,Livianos
Ghost Rider,good,Male,Demon,Marvel Comics,-,188.0,99.0,Livianos
Ghost Rider II,good,Male,-,Marvel Comics,-,188.0,100.0,Livianos
Giant-Man,good,Male,Human,Marvel Comics,-,182.0,83.0,Livianos
Giant-Man II,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Giganta,bad,Female,-,DC Comics,-,62.5,630.0,Pesados
Gladiator,neutral,Male,Strontian,Marvel Comics,purple,198.0,268.0,Pesados
Goblin Queen,bad,Female,-,Marvel Comics,-,168.0,50.0,Livianos
Gog,bad,Male,-,DC Comics,-,-99.0,-99.0,
Goku,good,Male,Saiyan,Shueisha,-,175.0,62.0,Livianos
Goliath,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Goliath,good,Male,Human,Marvel Comics,-,-99.0,-99.0,
Goliath,good,Male,Human,Marvel Comics,-,-99.0,-99.0,
Goliath IV,good,Male,-,Marvel Comics,-,183.0,90.0,Livianos
Gorilla Grodd,bad,Male,Gorilla,DC Comics,-,198.0,270.0,Pesados
Granny Goodness,bad,Female,-,DC Comics,-,178.0,115.0,Livianos
Gravity,good,Male,Human,Marvel Comics,-,178.0,79.0,Livianos
Greedo,bad,Male,Rodian,George Lucas,green,170.0,74.0,Livianos
Green Arrow,good,Male,Human,DC Comics,-,188.0,88.0,Livianos
Green Goblin,bad,Male,Human,Marvel Comics,-,180.0,83.0,Livianos
Green Goblin II,bad,Male,-,Marvel Comics,-,178.0,77.0,Livianos
Green Goblin III,good,Male,-,Marvel Comics,-,183.0,88.0,Livianos
Green Goblin IV,good,Male,-,Marvel Comics,-,178.0,79.0,Livianos
Groot,good,Male,Flora Colossus,Marvel Comics,-,701.0,4.0,Livianos
Guardian,good,Male,Human,Marvel Comics,-,188.0,75.0,Livianos
Guy Gardner,good,Male,Human-Vuldarian,DC Comics,-,188.0,95.0,Livianos
Hal Jordan,good,Male,Human,DC Comics,-,188.0,90.0,Livianos
Han Solo,good,Male,Human,George Lucas,-,183.0,79.0,Livianos
Hancock,good,Male,Human,Sony Pictures,-,188.0,91.0,Livianos
Harley Quinn,bad,Female,Human,DC Comics,-,170.0,63.0,Livianos
Harry Potter,good,Male,Human,J. K. Rowling,-,168.0,56.0,Livianos
Havok,good,Male,Mutant,Marvel Comics,-,183.0,79.0,Livianos
Hawk,good,Male,-,DC Comics,-,185.0,89.0,Livianos
Hawkeye,good,Male,Human,Marvel Comics,-,191.0,104.0,Livianos
Hawkeye II,good,Female,Human,Marvel Comics,-,165.0,57.0,Livianos
Hawkgirl,good,Female,-,DC Comics,-,175.0,61.0,Livianos
Hawkman,good,Male,-,DC Comics,-,185.0,88.0,Livianos
Hawkwoman,good,Female,-,DC Comics,-,175.0,54.0,Livianos
Hawkwoman II,good,Female,-,DC Comics,-,-99.0,-99.0,
Hawkwoman III,good,Female,-,DC Comics,-,170.0,65.0,Livianos
Heat Wave,bad,Male,Human,DC Comics,-,180.0,81.0,Livianos
Hela,bad,Female,Asgardian,Marvel Comics,-,213.0,225.0,Pesados
Hellboy,good,Male,Demon,Dark Horse Comics,-,259.0,158.0,Livianos
Hellcat,good,Female,Human,Marvel Comics,-,173.0,61.0,Livianos
Hellstorm,good,Male,-,Marvel Comics,-,185.0,81.0,Livianos
Hercules,good,Male,Demi-God,Marvel Comics,-,196.0,146.0,Livianos
Hiro Nakamura,good,Male,-,NBC - Heroes,-,-99.0,-99.0,
Hit-Girl,good,Female,Human,Icon Comics,-,164.0,54.0,Livianos
Hobgoblin,bad,Male,-,Marvel Comics,-,180.0,83.0,Livianos
Hollow,good,Female,-,Marvel Comics,-,170.0,-99.0,
Hope Summers,good,Female,-,Marvel Comics,-,168.0,48.0,Livianos
Howard the Duck,good,Male,-,Marvel Comics,-,79.0,18.0,Livianos
Hulk,good,Male,Human / Radiation,Marvel Comics,green,244.0,630.0,Pesados
Human Torch,good,Male,Human / Radiation,Marvel Comics,-,178.0,77.0,Livianos
Huntress,good,Female,-,DC Comics,-,180.0,59.0,Livianos
Husk,good,Female,Mutant,Marvel Comics,-,170.0,58.0,Livianos
Hybrid,good,Male,Symbiote,Marvel Comics,-,175.0,77.0,Livianos
Hydro-Man,bad,Male,-,Marvel Comics,-,188.0,119.0,Livianos
Hyperion,good,Male,Eternal,Marvel Comics,-,183.0,207.0,Pesados
Iceman,good,Male,Mutant,Marvel Comics,-,173.0,65.0,Livianos
Impulse,good,Male,Human,DC Comics,-,170.0,65.0,Livianos
Indiana Jones,good,Male,Human,George Lucas,-,183.0,79.0,Livianos
Indigo,neutral,Female,Alien,DC Comics,-,165.0,50.0,Livianos
Ink,good,Male,Mutant,Marvel Comics,-,180.0,81.0,Livianos
Invisible Woman,good,Female,Human / Radiation,Marvel Comics,-,168.0,54.0,Livianos
Iron Fist,good,Male,Human,Marvel Comics,-,180.0,79.0,Livianos
Iron Man,good,Male,Human,Marvel Comics,-,198.0,191.0,Pesados
Iron Monger,bad,Male,-,Marvel Comics,-,183.0,78.0,Livianos
Isis,good,Female,-,DC Comics,-,-99.0,-99.0,
Jack of Hearts,good,Male,Human,Marvel Comics,-,155.0,79.0,Livianos
Jack-Jack,good,Male,Human,Dark Horse Comics,-,71.0,14.0,Livianos
James Bond,good,Male,Human,Titan Books,-,183.0,75.0,Livianos
James T. Kirk,good,Male,Human,Star Trek,-,178.0,77.0,Livianos
Jar Jar Binks,good,Male,Gungan,George Lucas,orange / white,193.0,75.0,Livianos
Jean Grey,good,Female,Mutant,Marvel Comics,-,168.0,52.0,Livianos
Jean-Luc Picard,good,Male,Human,Star Trek,-,178.0,75.0,Livianos
Jennifer Kale,good,Female,-,Marvel Comics,-,168.0,55.0,Livianos
Jesse Quick,good,Female,Human,DC Comics,-,166.0,54.0,Livianos
Jessica Cruz,good,Female,Human,DC Comics,-,-99.0,60.0,Livianos
Jessica Jones,good,Female,Human,Marvel Comics,-,170.0,56.0,Livianos
Jessica Sanders,good,Female,-,NBC - Heroes,-,-99.0,-99.0,
Jigsaw,bad,Male,-,Marvel Comics,-,188.0,113.0,Livianos
Jim Powell,good,Male,-,ABC Studios,-,-99.0,-99.0,
JJ Powell,good,Male,-,ABC Studios,-,-99.0,-99.0,
Johann Krauss,good,Male,-,Dark Horse Comics,-,193.0,-99.0,
John Constantine,good,Male,Human,DC Comics,-,183.0,-99.0,
John Stewart,good,Male,Human,DC Comics,-,185.0,90.0,Livianos
John Wraith,good,Male,-,Marvel Comics,-,183.0,88.0,Livianos
Joker,bad,Male,Human,DC Comics,white,196.0,86.0,Livianos
Jolt,good,Female,-,Marvel Comics,-,165.0,49.0,Livianos
Jubilee,good,Female,Mutant,Marvel Comics,-,165.0,52.0,Livianos
Judge Dredd,good,Male,Human,Rebellion,-,188.0,-99.0,
Juggernaut,neutral,Male,Human,Marvel Comics,-,287.0,855.0,Pesados
Junkpile,bad,Male,Mutant,Marvel Comics,-,-99.0,-99.0,
Justice,good,Male,Human,Marvel Comics,-,178.0,81.0,Livianos
Jyn Erso,good,Female,Human,George Lucas,-,160.0,-99.0,
K-2SO,good,Male,Android,George Lucas,gray,213.0,-99.0,
Kang,bad,Male,-,Marvel Comics,-,191.0,104.0,Livianos
Karate Kid,good,Male,Human,DC Comics,-,173.0,72.0,Livianos
Kathryn Janeway,good,Female,Human,Star Trek,-,-99.0,-99.0,
Kevin 11,good,Male,Human,DC Comics,-,-99.0,-99.0,
Kick-Ass,good,Male,Human,Icon Comics,-,-99.0,-99.0,
Kid Flash,good,Male,Human,DC Comics,-,-99.0,-99.0,
Kid Flash II,good,Male,-,DC Comics,-,-99.0,-99.0,
